,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
283,0.843,0.612,10.0,-4.71,0.0,0.157,0.0573,0.000305,0.154,0.791,93.975,200200.0,4.0,2
284,0.474,0.983,6.0,-3.332,0.0,0.118,0.0675,0.0,0.0825,0.373,175.015,221282.0,3.0,4
285,0.777,0.764,1.0,-5.681,1.0,0.141,0.243,0.0,0.103,0.174,177.868,270867.0,4.0,1
286,0.814,0.852,2.0,-6.176,1.0,0.401,0.0958,1.32e-06,0.0288,0.717,184.682,295347.0,3.0,4
287,0.729,0.658,10.0,-3.386,0.0,0.225,0.0506,0.0,0.0693,0.551,140.043,250667.0,3.0,4
288,0.73,0.849,1.0,-5.281,0.0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,230013.0,4.0,2
289,0.667,0.808,6.0,-3.878,1.0,0.238,0.239,0.0,0.298,0.712,95.075,286907.0,4.0,1
290,0.489,0.692,1.0,-6.672,1.0,0.41,0.0322,0.00608,0.315,0.527,96.946,237707.0,4.0,1
291,0.687,0.537,10.0,-7.639,1.0,0.0305,0.561,0.0,0.107,0.264,120.023,257160.0,4.0,3
292,0.603,0.774,3.0,-6.066,0.0,0.0428,0.0288,0.051,0.0533,0.48,124.994,238267.0,4.0,2
293,0.786,0.807,0.0,-5.344,1.0,0.0398,0.00496,7.08e-05,0.0552,0.814,92.502,214160.0,4.0,0
294,0.748,0.809,0.0,-5.213,0.0,0.0904,0.0857,1.48e-05,0.0282,0.868,93.963,253600.0,4.0,2
295,0.527,0.452,7.0,-11.916,0.0,0.033,0.818,0.831,0.22,0.647,82.883,114787.0,4.0,4
296,0.476,0.663,6.0,-6.905,1.0,0.191,0.182,0.0,0.321,0.525,74.884,276360.0,4.0,1
297,0.542,0.589,8.0,-6.813,1.0,0.0284,0.246,0.0,0.188,0.336,133.838,251280.0,4.0,3
298,0.786,0.853,9.0,-8.274,0.0,0.0688,0.0499,0.0872,0.35,0.309,126.99,432147.0,4.0,2
299,0.837,0.765,7.0,-5.007,0.0,0.0631,0.0852,7.08e-05,0.1,0.912,133.57,161200.0,4.0,2
300,0.902,0.72,6.0,-2.776,0.0,0.347,0.26,0.0,0.0749,0.805,90.059,193467.0,4.0,2
301,0.701,0.844,4.0,-6.629,1.0,0.133,0.152,0.626,0.194,0.198,120.04,257022.0,4.0,4
302,0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0,4.0,2
303,0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133.0,4.0,2
304,0.741,0.824,10.0,-4.143,0.0,0.0352,0.614,0.0,0.158,0.725,100.216,211666.0,4.0,2
305,0.834,0.699,5.0,-3.222,1.0,0.178,0.111,0.0,0.131,0.809,94.086,272533.0,4.0,1
306,0.577,0.749,5.0,-7.215,0.0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880.0,4.0,4
307,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,162600.0,4.0,0
308,0.892,0.714,4.0,-6.055,0.0,0.141,0.201,0.000234,0.0521,0.817,100.972,267267.0,4.0,2
309,0.614,0.568,7.0,-5.477,0.0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960.0,4.0,2
310,0.668,0.824,5.0,-4.164,0.0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547.0,4.0,2
311,0.603,0.834,5.0,-5.766,0.0,0.0417,0.0411,0.00609,0.105,0.376,89.957,214440.0,4.0,2
312,0.489,0.649,9.0,-5.11,1.0,0.0336,0.000603,0.713,0.101,0.77,158.009,219827.0,4.0,4
313,0.595,0.489,7.0,-6.66,1.0,0.0271,0.497,0.0,0.119,0.0902,120.315,269973.0,4.0,3
314,0.664,0.781,11.0,-6.547,1.0,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240.0,4.0,0
315,0.498,0.83,6.0,-5.157,0.0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480.0,4.0,2
316,0.576,0.807,6.0,-3.908,0.0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427.0,4.0,2
317,0.647,0.729,5.0,-6.251,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627.0,4.0,3
318,0.624,0.654,8.0,-6.582,0.0,0.183,0.577,0.0,0.104,0.564,73.898,288333.0,4.0,4
319,0.492,0.896,4.0,-5.819,0.0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570.0,4.0,2
320,0.662,0.741,0.0,-5.406,1.0,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960.0,4.0,0
321,0.686,0.688,6.0,-4.981,0.0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,212373.0,4.0,2
322,0.761,0.899,10.0,-3.09,0.0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587.0,4.0,2
323,0.457,0.406,9.0,-7.462,1.0,0.0291,0.08,0.0,0.117,0.208,151.95,223067.0,3.0,4
324,0.455,0.858,11.0,-5.659,0.0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467.0,4.0,2
325,0.648,0.759,6.0,-4.315,1.0,0.306,0.0142,0.0,0.648,0.518,85.996,324307.0,4.0,1
326,0.442,0.846,4.0,-5.214,1.0,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653.0,4.0,1
327,0.53,0.768,7.0,-5.611,1.0,0.0284,0.00385,0.0,0.103,0.374,148.095,260333.0,4.0,3
328,0.871,0.597,5.0,-4.932,0.0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000.0,4.0,2
329,0.884,0.677,1.0,-5.603,1.0,0.283,0.0778,0.0,0.0732,0.584,101.868,263227.0,4.0,1
330,0.71,0.797,4.0,-3.006,0.0,0.0582,0.408,0.0,0.16,0.849,94.998,209120.0,4.0,2
